"gene_symbol"	"organsystem"	"kegg_diseasename"
"E2F3"	"Urinary system diseases"	"Focal segmental glomerulosclerosis"
"E2F5"	"Cancers"	"Non-small cell lung cancer"
"E2F6"	"Cancers"	"Non-small cell lung cancer"
"E2F7"	"Cancers"	"Non-small cell lung cancer"
"E2F8"	"Cancers"	"Hepatocellular carcinoma"
"E2F8"	"Cancers"	"Non-small cell lung cancer"
"EAF2"	"Cancers"	"Hepatocellular carcinoma"
"EAF2"	"Cancers"	"Prostate cancer"
"EBF3"	"Digestive system diseases"	"Gastroesophageal reflux disease"
"EBF3"	"Reproductive system diseases"	"Cryptorchidism"
"EBF3"	"Urinary system diseases"	"Vesicoureteral reflux"
"EBI3"	"Cancers"	"Gastric cancer"
"EBP"	"Congenital malformations"	"Congenital clubfoot"
"EBP"	"Congenital malformations"	"Congenital ichthyosis"
"EBP"	"Congenital malformations"	"Dandy-Walker syndrome"
"EBP"	"Congenital malformations"	"MEND syndrome"
"EBP"	"Congenital malformations"	"Microphthalmia"
"EBP"	"Congenital malformations"	"Nanophthalmos"
"EBP"	"Congenital malformations"	"Postaxial polydactyly"
"EBP"	"Eye disease"	"Cataract"
"EBP"	"Eye disease"	"Optic atrophy"
"EBP"	"Reproductive system diseases"	"Cryptorchidism"
"ECE1"	"Cardiovascular diseases"	"Atrial septal defect"
"ECE1"	"Cardiovascular diseases"	"High blood pressure"
"ECE1"	"Cardiovascular diseases"	"Patent ductus arteriosus"
"ECE1"	"Cardiovascular diseases"	"Ventricular septal defect"
"ECE1"	"Congenital malformations"	"Hirschsprung disease"
"ECEL1"	"Congenital malformations"	"Congenital clubfoot"
"ECHDC1"	"Cancers"	"Melanoma"
"ECHS1"	"Cancers"	"Gastric cancer"
"ECHS1"	"Cardiovascular diseases"	"Hypertrophic cardiomyopathy"
"ECHS1"	"Cardiovascular diseases"	"Ventricular septal defect"
"ECHS1"	"Congenital disorders of metabolism"	"Leigh syndrome"
"ECHS1"	"Congenital disorders of metabolism"	"Pyruvate dehydrogenase complex deficiency"
"ECHS1"	"Eye disease"	"Optic atrophy"
"ECHS1"	"Eye disease"	"Retinitis pigmentosa"
"ECM1"	"Cancers"	"Gastric cancer"
"ECM1"	"Cancers"	"Hepatocellular carcinoma"
"ECM1"	"Congenital disorders of metabolism"	"Lipoid proteinosis"
"ECM1"	"Immune system diseases"	"Ulcerative colitis"
"ECT2"	"Cancers"	"Breast cancer"
"ECT2"	"Cancers"	"Hepatocellular carcinoma"
"ECT2L"	"Cancers"	"T-cell acute lymphoblastic leukemia"
"EDA"	"Cancers"	"Colorectal cancer"
"EDA"	"Cancers"	"Melanoma"
"EDA"	"Cardiovascular diseases"	"High blood pressure"
"EDA"	"Congenital malformations"	"Hypohidrotic ectodermal dysplasia"
"EDA"	"Endocrine and metabolic diseases"	"Type 1 diabetes mellitus"
"EDA2R"	"Cardiovascular diseases"	"High blood pressure"
"EDA2R"	"Congenital malformations"	"Hypohidrotic ectodermal dysplasia"
"EDA2R"	"Endocrine and metabolic diseases"	"Type 1 diabetes mellitus"
"EDAR"	"Congenital malformations"	"Hypohidrotic ectodermal dysplasia"
"EDARADD"	"Congenital malformations"	"Hypohidrotic ectodermal dysplasia"
"EDC3"	"Congenital malformations"	"Polymicrogyria"
"EDEM1"	"Mental and behavioural disorders"	"Major depressive disorder"
"EDEM2"	"Mental and behavioural disorders"	"Schizophrenia"
"EDN1"	"Cardiovascular diseases"	"Atrial fibrillation"
"EDN1"	"Cardiovascular diseases"	"High blood pressure"
"EDN1"	"Congenital malformations"	"Auriculocondylar syndrome"
"EDN1"	"Congenital malformations"	"Congenital diaphragmatic hernia"
"EDN1"	"Digestive system diseases"	"Peptic ulcer"
"EDN1"	"Immune system diseases"	"Asthma"
"EDN1"	"Mental and behavioural disorders"	"Major depressive disorder"
"EDN1"	"Nervous system diseases"	"Parkinson disease"
"EDN1"	"Urinary system diseases"	"Focal segmental glomerulosclerosis"
"EDN1"	"Urinary system diseases"	"Nephrotic syndrome"
"EDN3"	"Cardiovascular diseases"	"High blood pressure"
"EDN3"	"Congenital disorders of metabolism"	"Waardenburg syndrome"
"EDN3"	"Congenital malformations"	"Hirschsprung disease"
"EDN3"	"Nervous system diseases"	"Congenital central hypoventilation syndrome"
"EDNRA"	"Cancers"	"Breast cancer"
"EDNRA"	"Cancers"	"Nasopharyngeal cancer"
"EDNRA"	"Cancers"	"Ovarian cancer"
"EDNRA"	"Cardiovascular diseases"	"High blood pressure"
"EDNRA"	"Congenital malformations"	"Bicuspid aortic valve"
"EDNRA"	"Congenital malformations"	"Congenital diaphragmatic hernia"
"EDNRA"	"Other congenital disorders"	"Treacher Collins syndrome"
"EDNRB"	"Cancers"	"Breast cancer"
"EDNRB"	"Congenital disorders of metabolism"	"Waardenburg syndrome"
"EDNRB"	"Congenital malformations"	"Congenital diaphragmatic hernia"
"EDNRB"	"Congenital malformations"	"Hirschsprung disease"
"EDNRB"	"Other diseases"	"ABCD syndrome"
"EDNRB"	"Urinary system diseases"	"Nephrotic syndrome"
"EDRF1"	"Cancers"	"Colorectal cancer"
"EED"	"Cancers"	"Schwannoma"
"EED"	"Cardiovascular diseases"	"Patent ductus arteriosus"
"EED"	"Congenital malformations"	"Congenital clubfoot"
"EED"	"Congenital malformations"	"Weaver syndrome"
"EED"	"Eye disease"	"Cataract"
"EED"	"Eye disease"	"Myopia"
"EED"	"Reproductive system diseases"	"Cryptorchidism"
"EEF1A1"	"Cancers"	"Gastric cancer"
"EEF1A2"	"Cancers"	"Gastric cancer"
"EEF1A2"	"Digestive system diseases"	"Gastroesophageal reflux disease"
"EEF1A2"	"Eye disease"	"Optic atrophy"
"EEF1A2"	"Mental and behavioural disorders"	"Autism"
"EEF1B2"	"Cancers"	"Breast cancer"
"EEF2"	"Cancers"	"Breast cancer"
"EEF2"	"Cancers"	"Renal cell carcinoma"
"EFCAB11"	"Mental and behavioural disorders"	"Schizophrenia"
"EFCAB13"	"Cancers"	"Breast cancer"
"EFEMP1"	"Cancers"	"Breast cancer"
"EFEMP1"	"Cancers"	"Colorectal cancer"
"EFEMP1"	"Cancers"	"Pancreatic cancer"
"EFEMP1"	"Eye disease"	"Doyne honeycomb retinal dystrophy"
"EFEMP2"	"Cancers"	"Prostate cancer"
"EFEMP2"	"Congenital malformations"	"Congenital diaphragmatic hernia"
"EFEMP2"	"Congenital malformations"	"Cutis laxa"
"EFEMP2"	"Musculoskeletal diseases"	"Osteoporosis"
"EFEMP2"	"Urinary system diseases"	"Vesicoureteral reflux"
"EFHC1"	"Nervous system diseases"	"Childhood absence epilepsy"
"EFHC1"	"Nervous system diseases"	"Juvenile absence epilepsy"
"EFHC1"	"Nervous system diseases"	"Juvenile myoclonic epilepsy"
"EFHD1"	"Cancers"	"Salivary gland cancer"
"EFL1"	"Cancers"	"Acute myeloid leukemia"
"EFL1"	"Cardiovascular diseases"	"Aplastic anemia"
"EFL1"	"Cardiovascular diseases"	"Myelodysplastic syndrome"
"EFL1"	"Congenital malformations"	"Congenital ichthyosis"
"EFL1"	"Endocrine and metabolic diseases"	"Type 1 diabetes mellitus"
"EFL1"	"Other congenital disorders"	"Shwachman-Diamond syndrome"
"EFNA1"	"Cancers"	"Breast cancer"
"EFNB1"	"Congenital malformations"	"Brachydactyly"
"EFNB1"	"Congenital malformations"	"Congenital diaphragmatic hernia"
"EFNB1"	"Congenital malformations"	"Craniofrontonasal syndrome"
"EFNB1"	"Congenital malformations"	"Craniosynostoses"
"EFNB1"	"Congenital malformations"	"Frontonasal dysplasia"
"EFNB1"	"Congenital malformations"	"Frontorhiny"
"EFNB1"	"Congenital malformations"	"Trigonocephaly"
"EFNB1"	"Congenital malformations"	"Woolly hair"
"EFNB1"	"Reproductive system diseases"	"Cryptorchidism"
"EFNB1"	"Reproductive system diseases"	"Hypospadias"
"EFNB2"	"Mental and behavioural disorders"	"Schizophrenia"
"EFS"	"Cancers"	"Colorectal cancer"
"EFTUD2"	"Cardiovascular diseases"	"Atrial septal defect"
"EFTUD2"	"Cardiovascular diseases"	"Ventricular septal defect"
"EFTUD2"	"Congenital malformations"	"Trigonocephaly"
"EFTUD2"	"Other congenital disorders"	"Treacher Collins syndrome"
"EGF"	"Cancers"	"Breast cancer"
"EGF"	"Cancers"	"Hepatocellular carcinoma"
"EGF"	"Cancers"	"Prostate cancer"
"EGF"	"Congenital disorders of metabolism"	"Hypomagnesemia"
"EGF"	"Immune system diseases"	"Juvenile idiopathic arthritis"
"EGF"	"Mental and behavioural disorders"	"Autism"
"EGF"	"Mental and behavioural disorders"	"Major depressive disorder"
"EGFR"	"Cancers"	"Adrenal carcinoma"
"EGFR"	"Cancers"	"Bladder cancer"
"EGFR"	"Cancers"	"Breast cancer"
"EGFR"	"Cancers"	"Cervical cancer"
"EGFR"	"Cancers"	"Cholangiocarcinoma"
"EGFR"	"Cancers"	"Colorectal cancer"
"EGFR"	"Cancers"	"Endometrial cancer"
"EGFR"	"Cancers"	"Esophageal cancer"
"EGFR"	"Cancers"	"Gallbladder cancer"
"EGFR"	"Cancers"	"Gastric cancer"
"EGFR"	"Cancers"	"Glioma"
"EGFR"	"Cancers"	"Hepatocellular carcinoma"
"EGFR"	"Cancers"	"Nasopharyngeal cancer"
"EGFR"	"Cancers"	"Non-small cell lung cancer"
"EGFR"	"Cancers"	"Osteosarcoma"
"EGFR"	"Cancers"	"Ovarian cancer"
"EGFR"	"Cancers"	"Pancreatic cancer"
"EGFR"	"Cancers"	"Prostate cancer"
"EGFR"	"Cancers"	"Small cell lung cancer"
"EGFR"	"Cancers"	"Squamous cell carcinoma"
"EGFR"	"Cardiovascular diseases"	"High blood pressure"
"EGFR"	"Digestive system diseases"	"Familial adenomatous polyposis"
"EGFR"	"Mental and behavioural disorders"	"Major depressive disorder"
"EGFR"	"Reproductive system diseases"	"Endometriosis"
"EGR1"	"Cancers"	"Hepatocellular carcinoma"
"EGR1"	"Cancers"	"Prostate cancer"
"EGR1"	"Immune system diseases"	"Juvenile idiopathic arthritis"
"EGR2"	"Cancers"	"Ewing sarcoma"
"EGR2"	"Cancers"	"Hepatocellular carcinoma"
"EGR2"	"Mental and behavioural disorders"	"Autism"
"EGR2"	"Mental and behavioural disorders"	"Bipolar disorder"
"EGR2"	"Mental and behavioural disorders"	"Rett syndrome"
"EGR2"	"Mental and behavioural disorders"	"Schizophrenia"
"EGR2"	"Nervous system diseases"	"Congenital hypomyelinating neuropathy"
"EGR2"	"Nervous system diseases"	"Dejerine-Sottas disease"
"EGR2"	"Nervous system diseases"	"Dejerine-Sottas disease"
"EGR3"	"Mental and behavioural disorders"	"Bipolar disorder"
"EGR3"	"Mental and behavioural disorders"	"Schizophrenia"
"EGR4"	"Mental and behavioural disorders"	"Schizophrenia"
"EHBP1"	"Cancers"	"Breast cancer"
"EHBP1"	"Cancers"	"Prostate cancer"
"EHD3"	"Cancers"	"Hepatocellular carcinoma"
"EHD3"	"Mental and behavioural disorders"	"Major depressive disorder"
"EHF"	"Cancers"	"Prostate cancer"
"EHHADH"	"Cancers"	"Prostate cancer"
"EHHADH"	"Congenital disorders of metabolism"	"Fanconi-Bickel syndrome"
"EHHADH"	"Congenital disorders of metabolism"	"Fanconi renotubular syndrome"
"EHHADH"	"Mental and behavioural disorders"	"Bipolar disorder"
"EHMT1"	"Cancers"	"Breast cancer"
"EHMT1"	"Cancers"	"Medulloblastoma"
"EHMT1"	"Cardiovascular diseases"	"Tetralogy of Fallot"
"EHMT1"	"Congenital malformations"	"Brachydactyly"
"EHMT1"	"Congenital malformations"	"Congenital clubfoot"
"EHMT1"	"Congenital malformations"	"Kleefstra syndrome"
"EHMT1"	"Digestive system diseases"	"Gastroesophageal reflux disease"
"EHMT1"	"Mental and behavioural disorders"	"Autism"
"EHMT1"	"Reproductive system diseases"	"Cryptorchidism"
"EHMT1"	"Reproductive system diseases"	"Hypospadias"
"EHMT1"	"Urinary system diseases"	"Vesicoureteral reflux"
"EI24"	"Cancers"	"Prostate cancer"
"EIF1AD"	"Cancers"	"Melanoma"
"EIF2AK1"	"Digestive system diseases"	"Nonalcoholic fatty liver disease"
"EIF2AK2"	"Cancers"	"Prostate cancer"
"EIF2AK3"	"Congenital malformations"	"Brachydactyly"
"EIF2AK3"	"Congenital malformations"	"Multiple epiphyseal dysplasia"
"EIF2AK3"	"Congenital malformations"	"Neuronal migration disorder"
"EIF2AK3"	"Digestive system diseases"	"Fulminant hepatic failure"
"EIF2AK3"	"Endocrine and metabolic diseases"	"Transient neonatal diabetes mellitus"
"EIF2AK3"	"Endocrine and metabolic diseases"	"Type 1 diabetes mellitus"
"EIF2AK3"	"Endocrine and metabolic diseases"	"Wolcott-Rallison syndrome"
"EIF2AK3"	"Musculoskeletal diseases"	"Osteoporosis"
"EIF2AK3"	"Nervous system diseases"	"Progressive supranuclear palsy"
"EIF2AK4"	"Cardiovascular diseases"	"Primary pulmonary hypertension"
"EIF2AK4"	"Cardiovascular diseases"	"Pulmonary arterial hypertension"
"EIF2B1"	"Eye disease"	"Optic atrophy"
"EIF2B1"	"Nervous system diseases"	"Leukoencephalopathy with vanishing white matter"
"EIF2B1"	"Reproductive system diseases"	"Premature ovarian failure"
"EIF2B2"	"Eye disease"	"Optic atrophy"
"EIF2B2"	"Nervous system diseases"	"Leukoencephalopathy with vanishing white matter"
"EIF2B2"	"Reproductive system diseases"	"Premature ovarian failure"
"EIF2B3"	"Eye disease"	"Optic atrophy"
"EIF2B3"	"Nervous system diseases"	"Leukoencephalopathy with vanishing white matter"
"EIF2B3"	"Reproductive system diseases"	"Premature ovarian failure"
"EIF2B4"	"Eye disease"	"Optic atrophy"
"EIF2B4"	"Nervous system diseases"	"Leukoencephalopathy with vanishing white matter"
"EIF2B4"	"Reproductive system diseases"	"Premature ovarian failure"
"EIF2B5"	"Eye disease"	"Optic atrophy"
"EIF2B5"	"Nervous system diseases"	"Leukoencephalopathy with vanishing white matter"
"EIF2B5"	"Reproductive system diseases"	"Premature ovarian failure"
"EIF2S1"	"Cancers"	"Osteosarcoma"
"EIF2S1"	"Mental and behavioural disorders"	"Schizophrenia"
"EIF2S1"	"Nervous system diseases"	"Alzheimer disease"
"EIF2S2"	"Cancers"	"Breast cancer"
"EIF2S3"	"Congenital malformations"	"Congenital clubfoot"
"EIF2S3"	"Endocrine and metabolic diseases"	"Growth hormone deficiency"
"EIF2S3"	"Endocrine and metabolic diseases"	"Isolated growth hormone deficiency"
"EIF2S3"	"Endocrine and metabolic diseases"	"Male hypogonadism"
"EIF2S3"	"Eye disease"	"Myopia"
"EIF2S3"	"Reproductive system diseases"	"Cryptorchidism"
"EIF3A"	"Cancers"	"Prostate cancer"
"EIF3G"	"Nervous system diseases"	"Narcolepsy"
"EIF3H"	"Cancers"	"Colorectal cancer"
"EIF3H"	"Cancers"	"Hepatocellular carcinoma"
"EIF3H"	"Cancers"	"Prostate cancer"
"EIF3M"	"Cancers"	"Breast cancer"
"EIF4A2"	"Cancers"	"Breast cancer"
"EIF4A3"	"Congenital malformations"	"Congenital clubfoot"
"EIF4B"	"Mental and behavioural disorders"	"Major depressive disorder"
"EIF4E"	"Mental and behavioural disorders"	"Autism"
"EIF4G1"	"Cancers"	"Colorectal cancer"
"EIF4G1"	"Mental and behavioural disorders"	"Schizophrenia"
"EIF4G1"	"Nervous system diseases"	"Parkinsonian syndrome"
"EIF5"	"Cancers"	"Breast cancer"
"EIF5"	"Mental and behavioural disorders"	"Schizophrenia"
"EIF6"	"Cancers"	"Breast cancer"
"ELAC2"	"Cancers"	"Prostate cancer"
"ELAC2"	"Cardiovascular diseases"	"Hypertrophic cardiomyopathy"
"ELAC2"	"Congenital disorders of metabolism"	"Mitochondrial complex I deficiency"
"ELANE"	"Cancers"	"Acute myeloid leukemia"
"ELANE"	"Cardiovascular diseases"	"Aplastic anemia"
"ELANE"	"Cardiovascular diseases"	"Myelodysplastic syndrome"
"ELAVL1"	"Reproductive system diseases"	"Endometriosis"
"ELAVL2"	"Cancers"	"Small cell lung cancer"
"ELAVL2"	"Mental and behavioural disorders"	"Schizophrenia"
"ELAVL3"	"Reproductive system diseases"	"Polycystic ovary syndrome"
"ELF2"	"Immune system diseases"	"Juvenile idiopathic arthritis"
"ELK3"	"Cancers"	"Breast cancer"
"ELMO1"	"Endocrine and metabolic diseases"	"Diabetic nephropathy"
"ELMO1"	"Skin diseases"	"Stevens-Johnson syndrome"
"ELN"	"Cardiovascular diseases"	"Atrial septal defect"
"ELN"	"Cardiovascular diseases"	"High blood pressure"
"ELN"	"Cardiovascular diseases"	"Hypertrophic cardiomyopathy"
"ELN"	"Cardiovascular diseases"	"Mitral valve prolapse"
"ELN"	"Cardiovascular diseases"	"Moyamoya disease"
"ELN"	"Cardiovascular diseases"	"Myocardial infarction"
"ELN"	"Cardiovascular diseases"	"Patent ductus arteriosus"
"ELN"	"Cardiovascular diseases"	"Tetralogy of Fallot"
"ELN"	"Cardiovascular diseases"	"Ventricular septal defect"
"ELN"	"Congenital malformations"	"Bicuspid aortic valve"
"ELN"	"Congenital malformations"	"Chiari malformation"
"ELN"	"Congenital malformations"	"Congenital diaphragmatic hernia"
"ELN"	"Congenital malformations"	"Cutis laxa"
"ELN"	"Digestive system diseases"	"Celiac disease"
"ELN"	"Digestive system diseases"	"Gastroesophageal reflux disease"
"ELN"	"Digestive system diseases"	"Peptic ulcer"
"ELN"	"Endocrine and metabolic diseases"	"Hypogonadotropic hypogonadism"
"ELN"	"Endocrine and metabolic diseases"	"Precocious puberty"
"ELN"	"Endocrine and metabolic diseases"	"Type 2 diabetes mellitus"
"ELN"	"Eye disease"	"Cataract"
"ELN"	"Eye disease"	"Megalocornea"
"ELN"	"Eye disease"	"Myopia"
"ELN"	"Mental and behavioural disorders"	"Autism"
"ELN"	"Musculoskeletal diseases"	"Osteoporosis"
"ELN"	"Nervous system diseases"	"Insomnia"
"ELN"	"Other congenital disorders"	"Williams-Beuren syndrome"
"ELN"	"Reproductive system diseases"	"Cryptorchidism"
"ELN"	"Reproductive system diseases"	"Polycystic ovary syndrome"
"ELN"	"Respiratory diseases"	"Pneumothorax"
"ELN"	"Urinary system diseases"	"Vesicoureteral reflux"
"ELOA2"	"Cancers"	"Colorectal cancer"
"ELOC"	"Cancers"	"Renal cell carcinoma"
"ELOVL4"	"Congenital malformations"	"Congenital ichthyosis"
"ELOVL4"	"Eye disease"	"Macular dystrophy"
"ELOVL4"	"Eye disease"	"Stargardt disease"
"ELOVL4"	"Immune system diseases"	"Asthma"
"ELP1"	"Cancers"	"Breast cancer"
"ELP1"	"Cardiovascular diseases"	"High blood pressure"
"ELP1"	"Digestive system diseases"	"Gastroesophageal reflux disease"
"ELP1"	"Eye disease"	"Myopia"
"ELP1"	"Eye disease"	"Optic atrophy"
"ELP3"	"Cancers"	"Breast cancer"
"ELP4"	"Congenital malformations"	"Aniridia"
"ELP4"	"Eye disease"	"Cataract"
"EMC1"	"Eye disease"	"Myopia"
"EMC1"	"Eye disease"	"Optic atrophy"
"EMC1"	"Skin diseases"	"Vitiligo"
"EMD"	"Cardiovascular diseases"	"Hypertrophic cardiomyopathy"
"EMD"	"Congenital disorders of metabolism"	"Hypertriglyceridemia"
"EMD"	"Congenital disorders of metabolism"	"Lipodystrophy"
"EMD"	"Congenital malformations"	"Congenital ichthyosis"
"EMD"	"Musculoskeletal diseases"	"Limb-girdle muscular dystrophy"
"EMG1"	"Congenital malformations"	"Congenital vertical talus"
"EMG1"	"Other congenital disorders"	"Bowen-Conradi syndrome"
"EMG1"	"Reproductive system diseases"	"Cryptorchidism"
"EML1"	"Congenital malformations"	"Polymicrogyria"
"EML2"	"Cancers"	"Colorectal cancer"
"EML4"	"Cancers"	"Non-small cell lung cancer"
"EML5"	"Mental and behavioural disorders"	"Schizophrenia"
"EMP1"	"Cancers"	"Prostate cancer"
"EMP1"	"Mental and behavioural disorders"	"Major depressive disorder"
"EMP3"	"Cancers"	"Prostate cancer"
"EMSY"	"Cancers"	"Breast cancer"
"EMSY"	"Reproductive system diseases"	"Polycystic ovary syndrome"
"EMX2"	"Congenital malformations"	"Schizencephaly"
"EMX2"	"Mental and behavioural disorders"	"Schizophrenia"
"EN1"	"Cancers"	"Salivary gland cancer"
"EN1"	"Mental and behavioural disorders"	"Schizophrenia"
"EN2"	"Mental and behavioural disorders"	"Autism"
"EN2"	"Mental and behavioural disorders"	"Schizophrenia"
"ENAM"	"Digestive system diseases"	"Amelogenesis imperfecta"
"ENG"	"Cardiovascular diseases"	"Hereditary hemorrhagic telangiectasia"
"ENG"	"Cardiovascular diseases"	"High blood pressure"
"ENG"	"Cardiovascular diseases"	"Iron-refractory iron deficiency anemia"
"ENG"	"Cardiovascular diseases"	"Pulmonary arterial hypertension"
"ENG"	"Congenital disorders of metabolism"	"Cystic fibrosis"
"ENG"	"Digestive system diseases"	"Juvenile polyposis syndrome"
"ENO1"	"Cancers"	"Breast cancer"
"ENO1"	"Cancers"	"Esophageal cancer"
"ENO1"	"Cancers"	"Gastric cancer"
"ENO1"	"Cancers"	"Hepatocellular carcinoma"
"ENO1"	"Cancers"	"Non-small cell lung cancer"
"ENO1"	"Cancers"	"Oral cancer"
"ENO1"	"Cancers"	"Squamous cell carcinoma"
"ENO1"	"Immune system diseases"	"Rheumatoid arthritis"
"ENO1"	"Musculoskeletal diseases"	"Osteoporosis"
"ENO1"	"Nervous system diseases"	"Alzheimer disease"
"ENO2"	"Cancers"	"Bladder cancer"
"ENO2"	"Cancers"	"Non-small cell lung cancer"
"ENO2"	"Mental and behavioural disorders"	"Schizophrenia"
"ENO2"	"Nervous system diseases"	"Parkinson disease"
"ENO3"	"Congenital disorders of metabolism"	"Glycogen storage disease"
"ENPEP"	"Cancers"	"Breast cancer"
"ENPEP"	"Mental and behavioural disorders"	"Major depressive disorder"
"ENPP1"	"Cardiovascular diseases"	"Angina pectoris"
"ENPP1"	"Cardiovascular diseases"	"High blood pressure"
"ENPP1"	"Cardiovascular diseases"	"Mitral valve prolapse"
"ENPP1"	"Cardiovascular diseases"	"Myocardial infarction"
"ENPP1"	"Cardiovascular diseases"	"Restrictive cardiomyopathy"
"ENPP1"	"Congenital disorders of metabolism"	"Autosomal recessive hypophosphatemic rickets"
"ENPP1"	"Congenital disorders of metabolism"	"Hypophosphatemic rickets"
"ENPP1"	"Congenital malformations"	"Craniosynostoses"
"ENPP1"	"Congenital malformations"	"Pseudoxanthoma elasticum"
"ENPP1"	"Endocrine and metabolic diseases"	"Type 2 diabetes mellitus"
"ENPP1"	"Eye disease"	"Myopia"
"ENPP1"	"Musculoskeletal diseases"	"Ossification of the posterior longitudinal ligament of spine"
"ENPP1"	"Musculoskeletal diseases"	"Spinal stenosis"
"ENPP1"	"Reproductive system diseases"	"Endometriosis"
"ENPP1"	"Skin diseases"	"Cole disease"
"ENPP1"	"Skin diseases"	"Palmoplantar keratoderma"
"ENPP2"	"Cancers"	"Thyroid cancer"
"ENPP5"	"Cancers"	"Prostate cancer"
"ENTPD1"	"Congenital malformations"	"Congenital clubfoot"
"ENTPD2"	"Digestive system diseases"	"Primary biliary cirrhosis"
"EOGT"	"Cardiovascular diseases"	"Atrial septal defect"
"EOGT"	"Cardiovascular diseases"	"Patent ductus arteriosus"
"EOGT"	"Cardiovascular diseases"	"Pulmonary arterial hypertension"
"EOGT"	"Cardiovascular diseases"	"Tetralogy of Fallot"
"EOGT"	"Cardiovascular diseases"	"Ventricular septal defect"
"EOGT"	"Congenital malformations"	"Adams-Oliver syndrome"
"EOGT"	"Congenital malformations"	"Aplasia cutis congenita"
"EOGT"	"Congenital malformations"	"Brachydactyly"
"EOGT"	"Congenital malformations"	"Microphthalmia"
"EOGT"	"Congenital malformations"	"Nanophthalmos"
"EOGT"	"Congenital malformations"	"Porencephaly"
"EOGT"	"Eye disease"	"Cataract"
"EOMES"	"Cancers"	"Bladder cancer"
"EOMES"	"Cancers"	"Breast cancer"
"EOMES"	"Congenital malformations"	"Polymicrogyria"
"EP300"	"Cancers"	"Bladder cancer"
"EP300"	"Cancers"	"Breast cancer"
"EP300"	"Cancers"	"Colorectal cancer"
"EP300"	"Cancers"	"Endometrial cancer"
"EP300"	"Cancers"	"Melanoma"
"EP300"	"Cancers"	"Pancreatic cancer"
"EP300"	"Cancers"	"Renal cell carcinoma"
"EP300"	"Cancers"	"Small cell lung cancer"
"EP300"	"Cancers"	"Squamous cell carcinoma"
"EP300"	"Cardiovascular diseases"	"Atrial septal defect"
"EP300"	"Cardiovascular diseases"	"Infantile hemangioma"
"EP300"	"Cardiovascular diseases"	"Patent ductus arteriosus"
"EP300"	"Cardiovascular diseases"	"Ventricular septal defect"
"EP300"	"Congenital malformations"	"Hirschsprung disease"
"EP300"	"Congenital malformations"	"Ocular coloboma"
"EP300"	"Congenital malformations"	"Rubinstein-Taybi syndrome"
"EP300"	"Congenital malformations"	"Syndactyly"
"EP300"	"Eye disease"	"Cataract"
"EP300"	"Eye disease"	"Duane retraction syndrome"
"EP300"	"Mental and behavioural disorders"	"Autism"
"EP300"	"Musculoskeletal diseases"	"Legg-Calve-Perthes Disease"
"EP300"	"Musculoskeletal diseases"	"Legg-Calve-Perthes Disease"
"EP300"	"Reproductive system diseases"	"Cryptorchidism"
"EP300"	"Reproductive system diseases"	"Hypospadias"
"EP300"	"Skin diseases"	"Stevens-Johnson syndrome"
"EPAS1"	"Cancers"	"Renal cell carcinoma"
"EPAS1"	"Cardiovascular diseases"	"Primary pulmonary hypertension"
"EPAS1"	"Cardiovascular diseases"	"Pulmonary arterial hypertension"
"EPB41"	"Cancers"	"Melanoma"
"EPB41"	"Cardiovascular diseases"	"Hereditary elliptocytosis"
"EPB41L3"	"Cancers"	"Breast cancer"
"EPB42"	"Cardiovascular diseases"	"Hereditary spherocytosis"
"EPB42"	"Cardiovascular diseases"	"Restrictive cardiomyopathy"
"EPB42"	"Congenital disorders of metabolism"	"Hyperbilirubinemia"
"EPB42"	"Musculoskeletal diseases"	"Gout"
"EPCAM"	"Cancers"	"Basal cell carcinoma"
"EPCAM"	"Cancers"	"Hepatocellular carcinoma"
"EPCAM"	"Cancers"	"Neuroblastoma"
"EPCAM"	"Cancers"	"Ovarian cancer"
"EPCAM"	"Cancers"	"Pancreatic cancer"
"EPCAM"	"Cancers"	"Prostate cancer"
"EPCAM"	"Endocrine and metabolic diseases"	"Pituitary adenomas"
"EPG5"	"Cancers"	"Breast cancer"
"EPG5"	"Cardiovascular diseases"	"Dilated cardiomyopathy"
"EPG5"	"Congenital disorders of metabolism"	"Ocular albinism"
"EPG5"	"Congenital malformations"	"Schizencephaly"
"EPG5"	"Eye disease"	"Cataract"
"EPG5"	"Eye disease"	"Optic atrophy"
"EPG5"	"Immune system diseases"	"Chronic mucocutaneous candidiasis"
"EPG5"	"Immune system diseases"	"Vici syndrome"
"EPG5"	"Reproductive system diseases"	"Hypospadias"
"EPHA1"	"Cancers"	"Colorectal cancer"
"EPHA1"	"Nervous system diseases"	"Alzheimer disease"
"EPHA2"	"Congenital malformations"	"Leopard syndrome"
"EPHA2"	"Congenital malformations"	"Noonan syndrome"
"EPHA2"	"Eye disease"	"Choroideremia"
"EPHA2"	"Eye disease"	"Myopia"
"EPHA3"	"Cancers"	"Colorectal cancer"
"EPHA3"	"Cardiovascular diseases"	"Atrial fibrillation"
"EPHA7"	"Cancers"	"Colorectal cancer"
"EPHA7"	"Cancers"	"Small cell lung cancer"
"EPHB2"	"Cancers"	"Prostate cancer"
"EPHB3"	"Cancers"	"Small cell lung cancer"
"EPHB4"	"Cancers"	"Breast cancer"
"EPHB4"	"Cardiovascular diseases"	"Atrial septal defect"
"EPHB6"	"Cancers"	"Colorectal cancer"
"EPHX1"	"Cancers"	"Hepatocellular carcinoma"
